consignor_import_key,first_name,last_name,phone,email,address,city,province,postal_code,date_joined,commission_pct,unsold_preference,consignor_notes,item_import_key,item_description,price,category,brand,size,condition,item_notes,status,sale_price,sale_date,payout_status
michael-wilson-1003,Michael,Wilson,905-555-1003,michael.wilson@example.com,103 Main St,Stoney Creek,Ontario,L8E 3A3,2026-07-04,40,Please return,,michael-wilson-1003-003,Board Game,20,Toys,Wheels,3-6m,Fair,,Available,,,
michael-wilson-1003,Michael,Wilson,905-555-1003,michael.wilson@example.com,103 Main St,Burlington,Ontario,L8E 3A3,2026-07-04,40,Please return,,michael-wilson-1003-004,Ring,40,Jewellery,Carter's,,New with tags,,Sold,40,2026-08-05,Unpaid
sarah-lee-1004,Sarah,Lee,905-555-1004,sarah.lee@example.com,104 Main St,Grimsby,Ontario,L8E 4A4,2026-07-05,50,Please return,,sarah-lee-1004-001,Baby Carrier,100,Baby,Adidas,6-12m,Fair,,Sold,100,2026-08-02,Unpaid
sarah-lee-1004,Sarah,Lee,905-555-1004,sarah.lee@example.com,104 Main St,Stoney Creek,Ontario,L8E 4A4,2026-07-05,50,Contact consignor,,sarah-lee-1004-002,Plate Cover,15,Automotive,Fisher-Price,M,Fair,,Available,,,
emily-martin-1005,Emily,Martin,905-555-1005,emily.martin@example.com,105 Main St,Grimsby,Ontario,L8E 5A5,2026-07-06,50,Donate,,emily-martin-1005-001,Bluetooth Speaker,25,Electronics,Carter's,L,Fair,,Available,,,
emily-martin-1005,Emily,Martin,905-555-1005,emily.martin@example.com,105 Main St,Grimsby,Ontario,L8E 5A5,2026-07-06,50,Donate,,emily-martin-1005-002,High Chair,40,Baby,IKEA,S,Fair,,Available,,,
emily-martin-1005,Emily,Martin,905-555-1005,emily.martin@example.com,105 Main St,Hamilton,Ontario,L8E 5A5,2026-07-06,50,Donate,,emily-martin-1005-003,Bluetooth Speaker,25,Electronics,Sony,L,Like new,,Available,,,
emily-martin-1005,Emily,Martin,905-555-1005,emily.martin@example.com,105 Main St,Burlington,Ontario,L8E 5A5,2026-07-06,50,Contact consignor,,emily-martin-1005-004,Bluetooth Speaker,25,Electronics,Coach,6-12m,Like new,,Available,,,
emily-martin-1005,Emily,Martin,905-555-1005,emily.martin@example.com,105 Main St,Burlington,Ontario,L8E 5A5,2026-07-06,50,Contact consignor,,emily-martin-1005-005,Tablet,25,Electronics,Apple,L,Like new,,Sold,25,2026-08-06,Unpaid
david-johnson-1006,David,Johnson,905-555-1006,david.johnson@example.com,106 Main St,Stoney Creek,Ontario,L8E 6A6,2026-07-07,40,Contact consignor,,david-johnson-1006-001,Car Cover,25,Automotive,Fisher-Price,L,Fair,,Available,,,
david-johnson-1006,David,Johnson,905-555-1006,david.johnson@example.com,106 Main St,Hamilton,Ontario,L8E 6A6,2026-07-07,40,Contact consignor,,david-johnson-1006-002,Onesie,100,Clothing,Wheels,L,Like new,,Sold,100,2026-08-03,Unpaid
david-johnson-1006,David,Johnson,905-555-1006,david.johnson@example.com,106 Main St,Stoney Creek,Ontario,L8E 6A6,2026-07-07,40,Contact consignor,,david-johnson-1006-003,Novel,50,Books,Carter's,3-6m,Good,,Available,,,
david-johnson-1006,David,Johnson,905-555-1006,david.johnson@example.com,106 Main St,Stoney Creek,Ontario,L8E 6A6,2026-07-07,40,Donate,,david-johnson-1006-004,Tablet,30,Electronics,Carter's,6-12m,Good,,Available,,,
david-johnson-1006,David,Johnson,905-555-1006,david.johnson@example.com,106 Main St,Stoney Creek,Ontario,L8E 6A6,2026-07-07,40,Please return,,david-johnson-1006-005,Tablet,25,Electronics,Coach,S,Like new,,Sold,25,2026-08-06,Unpaid
olivia-taylor-1007,Olivia,Taylor,905-555-1007,olivia.taylor@example.com,107 Main St,Hamilton,Ontario,L8E 7A7,2026-07-08,50,Donate,,olivia-taylor-1007-001,Winter Coat,75,Clothing,Adidas,3-6m,Fair,,Sold,75,2026-08-02,Unpaid
olivia-taylor-1007,Olivia,Taylor,905-555-1007,olivia.taylor@example.com,107 Main St,Grimsby,Ontario,L8E 7A7,2026-07-08,50,Donate,,olivia-taylor-1007-002,Bluetooth Speaker,30,Electronics,Wheels,3-6m,Good,,Sold,30,2026-08-03,Unpaid
lucas-anderson-1008,Lucas,Anderson,905-555-1008,lucas.anderson@example.com,108 Main St,Grimsby,Ontario,L8E 8A8,2026-07-09,50,Contact consignor,,lucas-anderson-1008-001,Vase,40,Home Décor,Adidas,M,Like new,,Available,,,
lucas-anderson-1008,Lucas,Anderson,905-555-1008,lucas.anderson@example.com,108 Main St,Burlington,Ontario,L8E 8A8,2026-07-09,50,Contact consignor,,lucas-anderson-1008-002,Onesie,20,Clothing,Wheels,M,Fair,,Available,,,
lucas-anderson-1008,Lucas,Anderson,905-555-1008,lucas.anderson@example.com,108 Main St,Grimsby,Ontario,L8E 8A8,2026-07-09,50,Contact consignor,,lucas-anderson-1008-003,Dress,10,Clothing,Fisher-Price,6-12m,Fair,,Available,,,
emma-white-1009,Emma,White,905-555-1009,emma.white@example.com,109 Main St,Grimsby,Ontario,L8E 0A9,2026-07-10,40,Please return,,emma-white-1009-001,Bracelet,40,Jewellery,Coach,L,Fair,,Available,,,
emma-white-1009,Emma,White,905-555-1009,emma.white@example.com,109 Main St,Hamilton,Ontario,L8E 0A9,2026-07-10,40,Donate,,emma-white-1009-002,Hoodie,100,Clothing,Coach,3-6m,Fair,,Available,,,
emma-white-1009,Emma,White,905-555-1009,emma.white@example.com,109 Main St,Hamilton,Ontario,L8E 0A9,2026-07-10,40,Contact consignor,,emma-white-1009-003,Dress,60,Clothing,Melissa & Doug,L,Fair,,Sold,60,2026-08-04,Unpaid
emma-white-1009,Emma,White,905-555-1009,emma.white@example.com,109 Main St,Hamilton,Ontario,L8E 0A9,2026-07-10,40,Please return,,emma-white-1009-004,Onesie,30,Clothing,Wheels,,Fair,,Available,,,
noah-hall-1010,Noah,Hall,905-555-1010,noah.hall@example.com,110 Main St,Burlington,Ontario,L8E 1A0,2026-07-11,50,Please return,,noah-hall-1010-001,Hoodie,15,Clothing,Coach,L,Fair,,Available,,,
noah-hall-1010,Noah,Hall,905-555-1010,noah.hall@example.com,110 Main St,Grimsby,Ontario,L8E 1A0,2026-07-11,50,Please return,,noah-hall-1010-002,Winter Coat,40,Clothing,Apple,3-6m,New with tags,,Available,,,
sophia-young-1011,Sophia,Young,905-555-1011,sophia.young@example.com,111 Main St,Hamilton,Ontario,L8E 2A1,2026-07-12,50,Please return,,sophia-young-1011-001,Doll,50,Toys,Nike,S,Like new,,Sold,50,2026-08-02,Unpaid
sophia-young-1011,Sophia,Young,905-555-1011,sophia.young@example.com,111 Main St,Grimsby,Ontario,L8E 2A1,2026-07-12,50,Contact consignor,,sophia-young-1011-002,Jeans,25,Clothing,Carter's,,Good,,Available,,,
sophia-young-1011,Sophia,Young,905-555-1011,sophia.young@example.com,111 Main St,Grimsby,Ontario,L8E 2A1,2026-07-12,50,Donate,,sophia-young-1011-003,Board Game,100,Toys,Gap,3-6m,Like new,,Available,,,
sophia-young-1011,Sophia,Young,905-555-1011,sophia.young@example.com,111 Main St,Hamilton,Ontario,L8E 2A1,2026-07-12,50,Contact consignor,,sophia-young-1011-004,Vase,40,Home Décor,Carter's,,Like new,,Available,,,
sophia-young-1011,Sophia,Young,905-555-1011,sophia.young@example.com,111 Main St,Burlington,Ontario,L8E 2A1,2026-07-12,50,Please return,,sophia-young-1011-005,Jeans,25,Clothing,Adidas,S,Like new,,Available,,,
liam-king-1012,Liam,King,905-555-1012,liam.king@example.com,112 Main St,Stoney Creek,Ontario,L8E 3A2,2026-07-13,40,Contact consignor,,liam-king-1012-001,Onesie,50,Clothing,Fisher-Price,S,Fair,,Available,,,
liam-king-1012,Liam,King,905-555-1012,liam.king@example.com,112 Main St,Grimsby,Ontario,L8E 3A2,2026-07-13,40,Please return,,liam-king-1012-002,Novel,10,Books,Coach,L,Fair,,Available,,,
mia-scott-1013,Mia,Scott,905-555-1013,mia.scott@example.com,113 Main St,Hamilton,Ontario,L8E 4A3,2026-07-14,50,Please return,,mia-scott-1013-001,Stroller,50,Baby,IKEA,L,Good,,Sold,50,2026-08-02,Unpaid
mia-scott-1013,Mia,Scott,905-555-1013,mia.scott@example.com,113 Main St,Hamilton,Ontario,L8E 4A3,2026-07-14,50,Please return,,mia-scott-1013-002,License Plate Frame,20,Automotive,Carter's,6-12m,Good,,Available,,,
mia-scott-1013,Mia,Scott,905-555-1013,mia.scott@example.com,113 Main St,Burlington,Ontario,L8E 4A3,2026-07-14,50,Contact consignor,,mia-scott-1013-003,Hoodie,20,Clothing,Coach,S,Good,,Available,,,
james-walker-1014,James,Walker,905-555-1014,james.walker@example.com,114 Main St,Hamilton,Ontario,L8E 5A4,2026-07-15,50,Contact consignor,,james-walker-1014-001,Stroller,100,Baby,Nike,M,Good,,Available,,,
james-walker-1014,James,Walker,905-555-1014,james.walker@example.com,114 Main St,Hamilton,Ontario,L8E 5A4,2026-07-15,50,Please return,,james-walker-1014-002,RC Car,10,Toys,Fisher-Price,,Fair,,Available,,,
james-walker-1014,James,Walker,905-555-1014,james.walker@example.com,114 Main St,Stoney Creek,Ontario,L8E 5A4,2026-07-15,50,Please return,,james-walker-1014-003,Bracelet,60,Jewellery,Coach,3-6m,New with tags,,Available,,,
james-walker-1014,James,Walker,905-555-1014,james.walker@example.com,114 Main St,Burlington,Ontario,L8E 5A4,2026-07-15,50,Contact consignor,,james-walker-1014-004,Vase,30,Home Décor,Carter's,6-12m,New with tags,,Sold,30,2026-08-05,Unpaid
james-walker-1014,James,Walker,905-555-1014,james.walker@example.com,114 Main St,Stoney Creek,Ontario,L8E 5A4,2026-07-15,50,Please return,,james-walker-1014-005,Children's Book,10,Books,Gap,6-12m,Fair,,Available,,,
ava-clark-1015,Ava,Clark,905-555-1015,ava.clark@example.com,115 Main St,Stoney Creek,Ontario,L8E 6A5,2026-07-16,40,Please return,,ava-clark-1015-001,Vase,75,Home Décor,Gap,3-6m,Fair,,Available,,,
ava-clark-1015,Ava,Clark,905-555-1015,ava.clark@example.com,115 Main St,Hamilton,Ontario,L8E 6A5,2026-07-16,40,Contact consignor,,ava-clark-1015-002,Plate Cover,50,Automotive,Wheels,S,Good,,Available,,,
ava-clark-1015,Ava,Clark,905-555-1015,ava.clark@example.com,115 Main St,Grimsby,Ontario,L8E 6A5,2026-07-16,40,Contact consignor,,ava-clark-1015-003,Novel,15,Books,Fisher-Price,6-12m,Like new,,Available,,,
ava-clark-1015,Ava,Clark,905-555-1015,ava.clark@example.com,115 Main St,Hamilton,Ontario,L8E 6A5,2026-07-16,40,Please return,,ava-clark-1015-004,Puzzle,50,Toys,Fisher-Price,3-6m,Good,,Available,,,
ava-clark-1015,Ava,Clark,905-555-1015,ava.clark@example.com,115 Main St,Burlington,Ontario,L8E 6A5,2026-07-16,40,Donate,,ava-clark-1015-005,RC Car,100,Toys,Coach,M,Fair,,Sold,100,2026-08-06,Unpaid
justin-smith-1016,Justin,Smith,905-555-1016,justin.smith@example.com,116 Main St,Grimsby,Ontario,L8E 7A6,2026-07-17,50,Please return,,justin-smith-1016-001,Bluetooth Speaker,75,Electronics,Coach,M,Good,,Sold,75,2026-08-02,Unpaid
justin-smith-1016,Justin,Smith,905-555-1016,justin.smith@example.com,116 Main St,Burlington,Ontario,L8E 7A6,2026-07-17,50,Donate,,justin-smith-1016-002,Ring,100,Jewellery,Carter's,M,Good,,Available,,,
justin-smith-1016,Justin,Smith,905-555-1016,justin.smith@example.com,116 Main St,Hamilton,Ontario,L8E 7A6,2026-07-17,50,Donate,,justin-smith-1016-003,Jeans,30,Clothing,Sony,M,Fair,,Available,,,
justin-smith-1016,Justin,Smith,905-555-1016,justin.smith@example.com,116 Main St,Stoney Creek,Ontario,L8E 7A6,2026-07-17,50,Please return,,justin-smith-1016-004,License Plate Frame,15,Automotive,Nike,M,New with tags,,Available,,,
justin-smith-1016,Justin,Smith,905-555-1016,justin.smith@example.com,116 Main St,Burlington,Ontario,L8E 7A6,2026-07-17,50,Donate,,justin-smith-1016-005,Headphones,20,Electronics,Nike,S,New with tags,,Available,,,
jane-brown-1017,Jane,Brown,905-555-1017,jane.brown@example.com,117 Main St,Burlington,Ontario,L8E 8A7,2026-07-18,50,Please return,,jane-brown-1017-001,Jeans,100,Clothing,Carter's,,Like new,,Available,,,
jane-brown-1017,Jane,Brown,905-555-1017,jane.brown@example.com,117 Main St,Grimsby,Ontario,L8E 8A7,2026-07-18,50,Donate,,jane-brown-1017-002,Novel,60,Books,Wheels,L,Fair,,Sold,60,2026-08-03,Unpaid
jane-brown-1017,Jane,Brown,905-555-1017,jane.brown@example.com,117 Main St,Burlington,Ontario,L8E 8A7,2026-07-18,50,Please return,,jane-brown-1017-003,Play Mat,10,Baby,Nike,S,Like new,,Available,,,
michael-wilson-1018,Michael,Wilson,905-555-1018,michael.wilson@example.com,118 Main St,Burlington,Ontario,L8E 0A8,2026-07-19,40,Please return,,michael-wilson-1018-001,Plate Cover,60,Automotive,Fisher-Price,M,Like new,,Sold,60,2026-08-02,Unpaid
michael-wilson-1018,Michael,Wilson,905-555-1018,michael.wilson@example.com,118 Main St,Burlington,Ontario,L8E 0A8,2026-07-19,40,Please return,,michael-wilson-1018-002,Puzzle,75,Toys,Carter's,6-12m,New with tags,,Available,,,
michael-wilson-1018,Michael,Wilson,905-555-1018,michael.wilson@example.com,118 Main St,Hamilton,Ontario,L8E 0A8,2026-07-19,40,Contact consignor,,michael-wilson-1018-003,Vase,40,Home Décor,Carter's,,Fair,,Sold,40,2026-08-04,Unpaid
michael-wilson-1018,Michael,Wilson,905-555-1018,michael.wilson@example.com,118 Main St,Hamilton,Ontario,L8E 0A8,2026-07-19,40,Please return,,michael-wilson-1018-004,Bluetooth Speaker,60,Electronics,IKEA,L,Fair,,Available,,,
sarah-lee-1019,Sarah,Lee,905-555-1019,sarah.lee@example.com,119 Main St,Grimsby,Ontario,L8E 1A9,2026-07-20,50,Contact consignor,,sarah-lee-1019-001,LEGO Set,75,Toys,Adidas,M,Good,,Available,,,
sarah-lee-1019,Sarah,Lee,905-555-1019,sarah.lee@example.com,119 Main St,Hamilton,Ontario,L8E 1A9,2026-07-20,50,Donate,,sarah-lee-1019-002,Car Cover,20,Automotive,Adidas,M,Like new,,Available,,,
sarah-lee-1019,Sarah,Lee,905-555-1019,sarah.lee@example.com,119 Main St,Hamilton,Ontario,L8E 1A9,2026-07-20,50,Donate,,sarah-lee-1019-003,Puzzle,40,Toys,Nike,S,Good,,Sold,40,2026-08-04,Unpaid
emily-martin-1020,Emily,Martin,905-555-1020,emily.martin@example.com,120 Main St,Stoney Creek,Ontario,L8E 2A0,2026-07-21,50,Donate,,emily-martin-1020-001,Cookbook,60,Books,Fisher-Price,M,Like new,,Available,,,
emily-martin-1020,Emily,Martin,905-555-1020,emily.martin@example.com,120 Main St,Stoney Creek,Ontario,L8E 2A0,2026-07-21,50,Please return,,emily-martin-1020-002,Tablet,25,Electronics,Sony,S,Like new,,Available,,,
emily-martin-1020,Emily,Martin,905-555-1020,emily.martin@example.com,120 Main St,Hamilton,Ontario,L8E 2A0,2026-07-21,50,Contact consignor,,emily-martin-1020-003,Novel,20,Books,Wheels,,Fair,,Available,,,
emily-martin-1020,Emily,Martin,905-555-1020,emily.martin@example.com,120 Main St,Burlington,Ontario,L8E 2A0,2026-07-21,50,Please return,,emily-martin-1020-004,Car Cover,30,Automotive,Apple,3-6m,Like new,,Sold,30,2026-08-05,Unpaid
david-johnson-1021,David,Johnson,905-555-1021,david.johnson@example.com,121 Main St,Hamilton,Ontario,L8E 3A1,2026-07-22,40,Contact consignor,,david-johnson-1021-001,Novel,40,Books,Wheels,3-6m,New with tags,,Available,,,
david-johnson-1021,David,Johnson,905-555-1021,david.johnson@example.com,121 Main St,Stoney Creek,Ontario,L8E 3A1,2026-07-22,40,Contact consignor,,david-johnson-1021-002,License Plate Frame,100,Automotive,Apple,M,Like new,,Available,,,
david-johnson-1021,David,Johnson,905-555-1021,david.johnson@example.com,121 Main St,Burlington,Ontario,L8E 3A1,2026-07-22,40,Donate,,david-johnson-1021-003,Bracelet,75,Jewellery,Wheels,3-6m,New with tags,,Available,,,
david-johnson-1021,David,Johnson,905-555-1021,david.johnson@example.com,121 Main St,Grimsby,Ontario,L8E 3A1,2026-07-22,40,Please return,,david-johnson-1021-004,Children's Book,40,Books,Wheels,6-12m,Like new,,Available,,,
olivia-taylor-1022,Olivia,Taylor,905-555-1022,olivia.taylor@example.com,122 Main St,Stoney Creek,Ontario,L8E 4A2,2026-07-23,50,Please return,,olivia-taylor-1022-001,Picture Frame,75,Home Décor,Gap,3-6m,New with tags,,Available,,,
olivia-taylor-1022,Olivia,Taylor,905-555-1022,olivia.taylor@example.com,122 Main St,Stoney Creek,Ontario,L8E 4A2,2026-07-23,50,Contact consignor,,olivia-taylor-1022-002,Lamp,10,Home Décor,Wheels,3-6m,New with tags,,Available,,,
lucas-anderson-1023,Lucas,Anderson,905-555-1023,lucas.anderson@example.com,123 Main St,Grimsby,Ontario,L8E 5A3,2026-07-24,50,Contact consignor,,lucas-anderson-1023-001,Doll,20,Toys,Coach,6-12m,Like new,,Available,,,
lucas-anderson-1023,Lucas,Anderson,905-555-1023,lucas.anderson@example.com,123 Main St,Stoney Creek,Ontario,L8E 5A3,2026-07-24,50,Please return,,lucas-anderson-1023-002,Lamp,100,Home Décor,Fisher-Price,3-6m,Like new,,Sold,100,2026-08-03,Unpaid
emma-white-1024,Emma,White,905-555-1024,emma.white@example.com,124 Main St,Grimsby,Ontario,L8E 6A4,2026-07-25,40,Please return,,emma-white-1024-001,RC Car,100,Toys,Gap,L,Fair,,Available,,,
emma-white-1024,Emma,White,905-555-1024,emma.white@example.com,124 Main St,Burlington,Ontario,L8E 6A4,2026-07-25,40,Contact consignor,,emma-white-1024-002,Children's Book,50,Books,Coach,M,Good,,Sold,50,2026-08-03,Unpaid
emma-white-1024,Emma,White,905-555-1024,emma.white@example.com,124 Main St,Hamilton,Ontario,L8E 6A4,2026-07-25,40,Please return,,emma-white-1024-003,RC Car,75,Toys,Carter's,,Like new,,Available,,,
emma-white-1024,Emma,White,905-555-1024,emma.white@example.com,124 Main St,Hamilton,Ontario,L8E 6A4,2026-07-25,40,Contact consignor,,emma-white-1024-004,Picture Frame,40,Home Décor,Fisher-Price,M,New with tags,,Sold,40,2026-08-05,Unpaid
emma-white-1024,Emma,White,905-555-1024,emma.white@example.com,124 Main St,Stoney Creek,Ontario,L8E 6A4,2026-07-25,40,Please return,,emma-white-1024-005,Vase,50,Home Décor,Coach,,New with tags,,Available,,,
noah-hall-1025,Noah,Hall,905-555-1025,noah.hall@example.com,125 Main St,Hamilton,Ontario,L8E 7A5,2026-07-26,50,Contact consignor,,noah-hall-1025-001,Ring,25,Jewellery,Apple,L,New with tags,,Sold,25,2026-08-02,Unpaid
noah-hall-1025,Noah,Hall,905-555-1025,noah.hall@example.com,125 Main St,Stoney Creek,Ontario,L8E 7A5,2026-07-26,50,Donate,,noah-hall-1025-002,Plate Cover,10,Automotive,Adidas,S,New with tags,,Available,,,
sophia-young-1026,Sophia,Young,905-555-1026,sophia.young@example.com,126 Main St,Stoney Creek,Ontario,L8E 8A6,2026-07-27,50,Donate,,sophia-young-1026-001,Car Cover,20,Automotive,Apple,6-12m,Like new,,Available,,,
sophia-young-1026,Sophia,Young,905-555-1026,sophia.young@example.com,126 Main St,Hamilton,Ontario,L8E 8A6,2026-07-27,50,Donate,,sophia-young-1026-002,Baby Carrier,30,Baby,Gap,,Like new,,Sold,30,2026-08-03,Unpaid
liam-king-1027,Liam,King,905-555-1027,liam.king@example.com,127 Main St,Hamilton,Ontario,L8E 0A7,2026-07-28,40,Contact consignor,,liam-king-1027-001,Bluetooth Speaker,25,Electronics,Nike,L,Fair,,Available,,,
liam-king-1027,Liam,King,905-555-1027,liam.king@example.com,127 Main St,Stoney Creek,Ontario,L8E 0A7,2026-07-28,40,Contact consignor,,liam-king-1027-002,Car Cover,75,Automotive,Sony,L,Like new,,Available,,,
liam-king-1027,Liam,King,905-555-1027,liam.king@example.com,127 Main St,Burlington,Ontario,L8E 0A7,2026-07-28,40,Contact consignor,,liam-king-1027-003,Doll,40,Toys,IKEA,M,Good,,Available,,,
liam-king-1027,Liam,King,905-555-1027,liam.king@example.com,127 Main St,Stoney Creek,Ontario,L8E 0A7,2026-07-28,40,Please return,,liam-king-1027-004,RC Car,30,Toys,Melissa & Doug,S,New with tags,,Available,,,
mia-scott-1028,Mia,Scott,905-555-1028,mia.scott@example.com,128 Main St,Burlington,Ontario,L8E 1A8,2026-07-01,50,Contact consignor,,mia-scott-1028-001,Baby Carrier,15,Baby,IKEA,3-6m,Good,,Available,,,
mia-scott-1028,Mia,Scott,905-555-1028,mia.scott@example.com,128 Main St,Stoney Creek,Ontario,L8E 1A8,2026-07-01,50,Donate,,mia-scott-1028-002,Headphones,40,Electronics,Sony,S,New with tags,,Available,,,
mia-scott-1028,Mia,Scott,905-555-1028,mia.scott@example.com,128 Main St,Grimsby,Ontario,L8E 1A8,2026-07-01,50,Donate,,mia-scott-1028-003,Doll,30,Toys,Gap,L,New with tags,,Sold,30,2026-08-04,Unpaid
james-walker-1029,James,Walker,905-555-1029,james.walker@example.com,129 Main St,Stoney Creek,Ontario,L8E 2A9,2026-07-02,50,Donate,,james-walker-1029-001,Doll,20,Toys,Melissa & Doug,,Good,,Sold,20,2026-08-02,Unpaid
james-walker-1029,James,Walker,905-555-1029,james.walker@example.com,129 Main St,Hamilton,Ontario,L8E 2A9,2026-07-02,50,Contact consignor,,james-walker-1029-002,Vase,60,Home Décor,Wheels,L,New with tags,,Sold,60,2026-08-03,Unpaid
james-walker-1029,James,Walker,905-555-1029,james.walker@example.com,129 Main St,Hamilton,Ontario,L8E 2A9,2026-07-02,50,Contact consignor,,james-walker-1029-003,T-Shirt,75,Clothing,Melissa & Doug,,Fair,,Available,,,
james-walker-1029,James,Walker,905-555-1029,james.walker@example.com,129 Main St,Burlington,Ontario,L8E 2A9,2026-07-02,50,Please return,,james-walker-1029-004,Winter Coat,20,Clothing,Apple,3-6m,Like new,,Available,,,
james-walker-1029,James,Walker,905-555-1029,james.walker@example.com,129 Main St,Burlington,Ontario,L8E 2A9,2026-07-02,50,Contact consignor,,james-walker-1029-005,Novel,60,Books,Nike,S,New with tags,,Sold,60,2026-08-06,Unpaid
ava-clark-1030,Ava,Clark,905-555-1030,ava.clark@example.com,130 Main St,Grimsby,Ontario,L8E 3A0,2026-07-03,40,Please return,,ava-clark-1030-001,Ring,10,Jewellery,IKEA,S,New with tags,,Available,,,
ava-clark-1030,Ava,Clark,905-555-1030,ava.clark@example.com,130 Main St,Burlington,Ontario,L8E 3A0,2026-07-03,40,Please return,,ava-clark-1030-002,Picture Frame,15,Home Décor,Sony,,Fair,,Available,,,
ava-clark-1030,Ava,Clark,905-555-1030,ava.clark@example.com,130 Main St,Grimsby,Ontario,L8E 3A0,2026-07-03,40,Donate,,ava-clark-1030-003,Bluetooth Speaker,20,Electronics,Gap,3-6m,New with tags,,Sold,20,2026-08-04,Unpaid
ava-clark-1030,Ava,Clark,905-555-1030,ava.clark@example.com,130 Main St,Stoney Creek,Ontario,L8E 3A0,2026-07-03,40,Please return,,ava-clark-1030-004,Bluetooth Speaker,10,Electronics,Wheels,6-12m,Good,,Available,,,
ava-clark-1030,Ava,Clark,905-555-1030,ava.clark@example.com,130 Main St,Grimsby,Ontario,L8E 3A0,2026-07-03,40,Contact consignor,,ava-clark-1030-005,Baby Carrier,75,Baby,Gap,M,Like new,,Available,,,
